Sample	Library	SequencingCenter	Platform	ReadGroup	LibType	Date	Lane	Unit	Flavor	Run	Genome	Group	NucleicAcid	Location	Seqfile1
RX-201	RX-201_S1	PwF	Illumina	RX-201_S1_NTCACG_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	DBDB	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-201_S1_L007_R1_001.fastq.gz
RX-203	RX-203_S2	PwF	Illumina	RX-203_S2_NGATGT_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	DBDB_Control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-203_S2_L007_R1_001.fastq.gz
RX-205	RX-205_S3	PwF	Illumina	RX-205_S3_NTAGGC_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	DBDB	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-205_S3_L007_R1_001.fastq.gz
RX-207	RX-207_S4	PwF	Illumina	RX-207_S4_NGACCA_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	DBDB_Control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-207_S4_L007_R1_001.fastq.gz
RX-211	RX-211_S5	PwF	Illumina	RX-211_S5_NCAGTG_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	DBDB	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-211_S5_L007_R1_001.fastq.gz
RX-214	RX-214_S6	PwF	Illumina	RX-214_S6_NCCAAT_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	DBDB_Control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-214_S6_L007_R1_001.fastq.gz
RX-262	RX-262_S7	PwF	Illumina	RX-262_S7_NAGATC_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	Control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-262_S7_L007_R1_001.fastq.gz
RX-263	RX-263_S8	PwF	Illumina	RX-263_S8_NCTTGA_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	Control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-263_S8_L007_R1_001.fastq.gz
RX-264	RX-264_S9	PwF	Illumina	RX-264_S9_NATCAG_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	Control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-264_S9_L007_R1_001.fastq.gz
RX-265	RX-265_S10	PwF	Illumina	RX-265_S10_NAGCTT_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	Control_Hypothroy	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-265_S10_L007_R1_001.fastq.gz
